Player,PassesCompleted,PassesAttempted
Ismaël Bennacer,43,47
Saïd Benrahma,157,217
Ramy Bensebaini,288,337
Rodrigo Bentancur,356,392
Lucas Beraldo,629,680
Yuri Berchiche,422,502
Álex Berenguer,192,286
Sander Berge,275,305
Lucas Bergvall,50,59
Medon Berisha,42,53
Mergim Berisha,30,41
,,
Adrian Bernabe,508,608
Marc Bernal,148,160
Juan Bernat,19,23
Alexander Bernhardsson,28,45
Victor Bernth Kristiansen,382,493
Matúš Bero,185,257
Juan Berrocal,116,157
Dimitry Bertaud,63,92
Beto,4,13
Sam Beukema,630,712
Alessandro Bianco,277,323
Alessandro Bianco,9,12
Jaka Bijol,449,542
El Bilal Touré,58,77
Philip Billing,6,13
Cristiano Biraghi,259,309
Samuele Birindelli,72,93
Tom Bischof,274,353
Yves Bissouma,256,280
Leonardo Bittencourt,209,243
Emmanuel Biumla,235,271
Marco Bizot,263,400
Antonio Blanco,263,337
Ludovic Blas,306,415
Daley Blind,773,868
,,
Myron Boadu,36,49
Augustine Boakye,77,93
Sacha Boey,76,87
Jeremie Boga,143,178
Lamare Bogarde,86,99
Emil Bohinen,69,86
Adama Boiro,115,144
Willy Boly,43,54
Moïse Bombito,435,474
Warren Bondo,298,329
Victor Boniface,92,127
Ange-Yoan Bonny,139,190
Sebastiaan Bornauw,173,220
Saïmon Bouabré,4,7
Ayyoub Bouaddi,140,155
Badredine Bouanani,87,116
Benjamin Bouchouari,142,162
Hicham Boudaoui,253,303
Carlo Boukhalfa,90,144
Benjamin Bourigeaud,36,48
Edoardo Bove,258,308
Jarrod Bowen,183,275
Enzo Boyomo,294,350
Enzo Boyomo,174,190
Domagoj Bradarić,170,207
,,
Conor Bradley,122,139
Bilal Brahimi,35,40
Julian Brandt,355,442
Jarrad Branthwaite,66,84
Darko Brašanac,195,252
Lilian Brassier,445,519
Matthias Braunöder,117,134
Iker Bravo,50,62
James Bree,8,10
Tim Breithaupt,58,67
Gleison Bremer,468,504
Brenner,82,109
Ben Brereton,119,152
Marco Brescianini,106,133
Maximilian Breunig,38,70
David Brooks,13,19
Moritz Broschinski,65,100
Nathaniel Brown,66,85
Jacob Bruun Larsen,34,46
Ante Budimir,91,153
Emi Buendía,19,21
Santiago Bueno,177,208
Marius Bülter,117,168
Facundo Buonanotte,229,293
Alessandro Buongiorno,527,589
,,
Cameron Burgess,154,200
Jonathan Burkardt,127,172
Oliver Burke,12,17
Dan Burn,539,601
Wes Burns,74,109
Marnon Busch,153,204
Gianluca Busio,215,288
Aurélio Buta,270,317
Marcin Bułka,298,373
Pau Cabanes,9,10
Rémy Cabella,181,214
Leandro Cabrera,254,358
Liberato Cacace,72,101
Anthony Caci,345,472
Mathieu Cafaro,128,176
Moisés Caicedo,519,591
Tom Cairney,124,134
Jens Cajuste,69,92
Davide Calabria,103,112
Riccardo Calafiori,174,209
Luca Caldirola,181,207
Fernando Calero,85,101
Duje Ćaleta-Car,470,527
Hakan Çalhanoğlu,503,562
Dominic Calvert-Lewin,90,153
,,
Drissa Camara,18,29
Issiaga Camara,4,4
Lamine Camara,411,486
Mahdi Camara,257,301
Francesco Camarda,18,21
Eduardo Camavinga,164,190
Nicolò Cambiaghi,12,17
Andrea Cambiaso,678,762
Axel Camblan,3,7
Sergio Camello,130,164
José Campaña,302,337
Cole Campbell,8,10
Emre Can,405,456
Peio Canales,9,11
Matteo Cancellieri,54,94
Antonio Candela,237,311
Sergi Canós,47,85
Jaydee Canvot,5,6
Pierrick Capelle,89,116
Gianluca Caprari,130,166
Elia Caprile,81,98
Francesco Caputo,2,2
Maxence Caqueret,271,338
Andrea Carboni,315,363
Franco Carboni,8,11
,,
Valentin Carboni,57,64
Cárdenas,57,103
Irvin Cardona,54,86
Marc Cardona,21,24
Sergi Cardona,380,499
Johnny Cardoso,230,275
Diego Carlos,274,311
Carmona,620,759
Marco Carnesecchi,245,339
Sergio Carreira,97,113
Dani Carvajal,399,463
Fabio Carvalho,69,104
William Carvalho,151,183
Marc Casado,563,626
Nicolò Casale,125,145
Nicolò Casale,100,110
Casemiro,346,431
Matty Cash,185,226
Josué Casimir,108,147
Federico Cassa,5,6
Cristian Cásseres Jr.,299,377
Timothy Castagne,21,27
Valentín Castellanos,108,177
Jean-Charles Castelletto,433,478
Santiago Castro,116,149
,,
Gaetano Castrovilli,56,64
Danilo Cataldi,259,294
Catena,331,431
Maximiliano Caufriez,11,14
Dani Ceballos,65,73
Zeki Çelik,426,525
Alberto Cerri,13,21
Franco Cervi,4,5
Julian Chabot,573,645
El Chadaille Bitshiabu,134,161
Fares Chaïbi,102,161
Trevoh Chalobah,132,172
Timothy Chandler,13,19
Conor Chaplin,77,105
Brendan Chardonnet,356,433
Gabriel Charpentier,29,46
Raúl Chasco,35,58
Anrie Chase,325,358
Pep Chavarría,232,303
Arthur Chaves,146,179
Jhoanner Chávez,221,296
Walid Cheddira,2,3
Walid Cheddira,34,50
Théo Chennahi,2,3
Sidiki Cherif,27,51
,,
Rayan Cherki,167,225
Lucas Chevalier,262,357
Fabio Chiarodia,9,10
Julián Chicco,42,51
Leandro Chichizola,36,50
Federico Chiesa,7,8
Chiquinho,3,3
Chiquinho,21,31
Pedro Chirivella,478,575
Joris Chotard,143,163
Hamza Choudhury,0,3
Andreas Christensen,14,16
Ryan Christie,270,324
Samuel Chukwueze,144,192
Aaron Ciammaglichella,0,0
Jasper Cillessen,315,447
Alessandro Circati,149,170
Pathé Ciss,157,191
Alphadjo Cissè,5,6
Seydouba Cissé,395,463
Harry Clarke,42,53
Jack Clarke,78,108
Alexis Claude-Maurice,61,75
Jonathan Clauss,312,425
Silvi Clúa,67,87
,,
Nathaniel Clyne,90,122
Conor Coady,1,2
Marcus Coco,211,258
Saúl Coco,484,548
Séamus Coleman,32,43
Nathan Collins,547,645
Nnamdi Collins,89,108
Toby Collyer,15,19
Lorenzo Colombo,99,151
Andrea Colpani,234,281
Levi Colwill,685,769
Kingsley Coman,237,282
Eray Cömert,277,335
Santi Comesaña,399,454
Pietro Comuzzo,470,530
Francisco Conceição,128,169
Diego Conde,265,333
Tomás Conechny,86,156
Sirlord Conteh,41,61
Lewis Cook,386,513
Copete,165,196
Diego Coppola,337,407
Derek Cornelius,457,487
Maxwel Cornet,17,22
Pierre Cornud,90,106
,,
Ángel Correa,83,115
Joaquín Correa,10,13
Thierry Correia,330,441
Danny da Costa,85,105
David Costa,86,95
Logan Costa,388,443
Logan Costa,47,56
Samu Costa,489,589
Vladimír Coufal,82,114
Lassana Coulibaly,174,197
Lasso Coulibaly,9,10
Soumaïla Coulibaly,189,215
Tanguy Coulibaly,86,117
Woyo Coulibaly,402,456
Thibaut Courtois,269,311
Yan Couto,167,215
Nicolas Cozza,174,227
Aaron Cresswell,24,34
Charlie Cresswell,383,473
Bryan Cristante,496,595
Domen Črnigoj,15,32
Juan Cruz Armada,120,158
Juan Cruz,181,288
Juan Cuadrado,76,94
Pau Cubarsí,931,992
,,
Marc Cucurella,392,441
Jorge Cuenca,1,2
Matheus Cunha,224,313
Patrick Cutrone,151,206
Tomáš Čvančara,45,60
Wylan Cyprien,14,21
Danilo D'Ambrosio,92,109
Lucas Da Cunha,190,247
Samuel Dahl,19,21
Mahmoud Dahoud,108,130
Ameen Al-Dakhil,1,1
Thijs Dallinga,44,56
Diogo Dalot,508,603
Mikkel Damsgaard,274,380
Flavius Daniliuc,152,187
Danilo,3,3
Danilo,281,300
Arnaut Danjuma,23,30
Arnaut Danjuma,133,177
Kévin Danois,245,310
Kevin Danso,323,373
Dante,434,498
Pape Daouda Diongue,27,36
Mohammed Daramy,4,4
Bence Dárdai,61,77
,,
Sergi Darder,297,403
Matteo Darmian,325,400
Lukas Daschner,77,114
Juan David Cabal,307,350
Jonathan David,189,235
Alphonso Davies,519,576
Ben Davies,13,13
Keinan Davis,113,146
Leif Davis,337,462
Zuriko Davitashvili,240,311
Paweł Dawidowicz,183,212
Craig Dawson,361,415
Kevin De Bruyne,273,343
Charles De Ketelaere,297,379
Rodrigo De Paul,337,423
Mattia De Sciglio,48,61
Lorenzo De Silvestri,155,184
Thibault De Smet,3,3
Koni De Winter,285,335
Alessandro Deiola,136,187
Romain Del Castillo,242,346
Enrico Del Prato,434,504
Liam Delap,50,82
Fisayo Dele-Bashiru,72,78
Olivier Deman,20,30
,,
Ali Dembélé,24,32
Ousmane Dembélé,333,419
Ermedin Demirović,90,128
Sepp van den Berg,301,370
Arthur Desmas,242,312
Justin Devenny,20,26
Kiernan Dewsbury-Hall,29,37
Michele Di Gregorio,221,267
Giovanni Di Lorenzo,545,669
Boulaye Dia,151,181
Mamadou Diakhon,40,48
Bafodé Diakité,738,796
Oumar Diakité,137,163
Amad Diallo,208,256
Assane Diao,32,43
Habib Diarra,289,346
Moussa Diarra,203,242
Rúben Dias,739,788
Krépin Diatta,91,131
Kandet Diawara,1,2
Mahamadou Diawara,6,7
Brahim Díaz,108,129
Luis Díaz,210,246
Pedro Díaz,26,35
Tyler Dibling,156,196
,,
Diego,25,40
Justin Diehl,23,35
Bamba Dieng,37,45
Eric Dier,57,58
Lucas Digne,355,463
Federico Dimarco,424,560
Junior Dina Ebimbe,68,107
Eren Dinkçi,173,227
Sinaly Diomande,226,285
Lois Diony,1,4
Issa Diop,210,244
Sofiane Diop,73,89
Andy Diouf,300,404
Yehvann Diouf,283,396
Assane Dioussé,32,34
Axel Disasi,64,74
Roman Dixon,11,19
Álvaro djaló,44,65
Djené,263,354
Berat Djimsiti,510,584
Marko Dmitrović,119,244
Ritsu Doan,238,342
Dodô,511,652
Danilho Doekhi,250,334
Matt Doherty,74,105
,,
Jeremy Doku,174,219
Marc Domenech,15,22
Benjamín Domínguez,10,17
Carlos Dominguez,261,297
Israel Domínguez,2,2
Nicolás Domínguez,241,286
Sergi Dominguez,171,180
Gianluigi Donnarumma,199,230
Patrick Dorgu,267,348
Niklas Dorsch,22,26
Niklas Dorsch,164,189
Alberto Dossena,502,571
Abdoulaye Doucouré,219,266
Cheick Doucouré,61,66
Désiré Doué,163,190
Guela Doué,560,673
Douglas,360,414
Ismaël Doukouré,376,441
Issa Doumbia,43,56
Kamory Doumbia,145,176
Anastasios Douvikas,59,83
Artem Dovbyk,131,170
Flynn Downes,518,562
Tommy Doyle,157,187
Radu Drăgușin,174,200
,,
Patrick Drewes,268,408
Tim Drexler,153,180
Domingos Duarte,51,60
Marvin Ducksch,197,309
Ondrej Duda,313,406
Denzel Dumfries,156,206
Alfred Duncan,285,352
Lewis Dunk,587,645
Jhon Durán,51,75
Pablo Durán,37,50
Julien Duranville,3,7
Hugo Duro,94,131
Jean-Kevin Duverne,186,232
Paulo Dybala,249,305
Stefan Džodić,105,113
Adam Dźwigała,52,75
Aron Dønnum,241,322
Enzo Ebosse,19,25
Ederson,351,405
Éderson,575,655
George Edmundson,1,2
Odsonne Édouard,17,28
Odsonne Édouard,6,8
Samuel Edozie,25,33
Johannes Eggestein,168,233
,,
Maximilian Eggestein,320,391
Kingsley Ehizibue,281,384
Chidera Ejuke,211,265
Jeff Ekhator,43,63
Hugo Ekitike,135,177
Jurgen Ekkelenkamp,106,128
Jacques Ekomie,65,98
Emmanuel Ekong,15,23
Caleb Ekuban,20,25
Pierre Ekwah Elimby,321,369
Anthony Elanga,133,215
Mikael Ellertsson,127,173
Harvey Elliott,12,14
Elif Elmas,13,16
Aritz Elustondo,164,194
Nico Elvedi,368,407
Adri Embarba,146,250
Breel Embolo,89,117
Emanuel Emegha,71,92
Emerson,388,448
Yunus Emre Konak,12,16
Julio Enciso,39,58
Wataru Endo,17,18
Endrick,18,23
Yannik Engelhardt,155,171
,,
Arne Engels,19,27
Christian Eriksen,253,303
Martin Erlic,150,163
Patrick Erras,344,375
Alfonso Espino,71,121
Sebastiano Esposito,102,163
Samuel Essende,59,85
Dario Essugo,347,400
Nahuel Estévez,76,105
Pervis Estupiñán,306,370
Evanilson,64,98
Jonny Evans,127,144
Eberechi Eze,283,375
Abde Ezzalzouli,269,378
Giovanni Fabbian,52,70
Łukasz Fabiański,67,100
Alieu Fadera,179,233
Wout Faes,475,547
Nicolò Fagioli,313,355
Romain Faivre,119,143
Wladimiro Falcone,228,365
Davide Faraoni,15,24
Abdul Fatawu Issahaku,123,197
Ansu Fati,52,61
Khalil Fayad,121,141
,,
Jacopo Fazzini,102,137
Peter Federico,35,54
Nabil Fekir,67,82
Mattia Felici,15,21
João Félix,59,72
Kiko Femenía,637,713
Evan Ferguson,15,23
Lewis Ferguson,10,13
Zinedine Ferhat,74,113
Bruno Fernandes,450,603
Edimilson Fernandes,61,78
Mateus Fernandes,281,347
Álvaro Fernández,68,116
Enzo Fernández,309,385
Valery Fernández,29,35
Matias Fernandez-Pardo,42,58
Jordan Ferri,363,409
Karol Fila,2,4
Kilian Fischer,231,322
Mark Flekken,438,569
Mateo Flores,7,8
Phil Foden,248,297
Malick Fofana,181,243
Wesley Fofana,513,577
Yahia Fofana,221,328
,,
Youssouf Fofana,454,514
Jonas Föhrenbach,310,441
Michael Folorunsho,6,9
Lamine Fomba,31,39
Carlos Forbs,40,63
Pablo Fornals,388,507
Omari Forson,13,16
Héctor Fort,153,168
Dimitri Foulquier,176,250
Alejandro Francés,362,423
Przemysław Frankowski,364,461
Enric Franquesa,158,225
Ryan Fraser,27,37
Davide Frattesi,149,173
Morten Frendrup,286,339
Martin Frese,115,169
Remo Freuler,622,690
Marco Friedl,465,510
Marvin Friedrich,224,262
Jeremie Frimpong,212,269
Jorge de Frutos,186,257
Chris Führich,149,186
Angelo Fulgini,160,213
Niclas Füllkrug,13,14
Manuel Fuster,120,156
,,
Matteo Gabbia,213,242
Alessandro Gabrielloni,19,29
Gianluca Gaetano,70,102
Roberto Gagliardini,50,54
Cody Gakpo,124,162
Javi Galán,145,178
Iñigo Ruiz de Galarreta,263,311
Conor Gallagher,229,277
Antonino Gallo,335,487
Gauthier Gallon,14,17
Cristian Gamboa,43,68
Idrissa Gana Gueye,283,333
Ignatius Ganago,34,44
Aleix García,245,281
Álvaro García,160,249
Eric García,264,291
Fran Garcia,284,310
Joan García,275,388
Rubén García,229,321
Ulisses Garcia,137,168
Alejandro Garnacho,190,247
James Garner,68,102
Yarek Gasiorowski,114,144
Federico Gatti,562,587
Gavi,27,32
,,
Paulo Gazzaniga,367,449
Jean-Philippe Gbamin,79,99
Yann Gboho,154,236
David de Gea,220,286
Lutsharel Geertruida,332,386
Dennis Geiger,53,67
Valentin Gendrey,42,55
Valentin Gendrey,134,205
Denis Genreau,25,33
Yannick Gerhardt,73,112
Max Geschwill,223,295
Daniele Ghilardi,151,177
Lautaro Gianetti,185,228
Dimitris Giannoulis,335,449
Morgan Gibbs-White,205,272
Samuel Gigot,21,22
Armin Gigovic,146,194
Bryan Gil,248,295
Mario Gila,472,518
Billy Gilmour,58,67
Billy Gilmour,247,277
Benedikt Gimber,372,461
Gvidas Gineitis,69,100
Matthias Ginter,328,395
Jamie Gittens,127,158
,,
Serge Gnabry,227,278
Ben Godfrey,8,10
Saba Goglichidze,211,259
Edoardo Goldaniga,285,339
Pierluigi Gollini,206,250
Aleksandr Golovin,301,367
André Gomes,214,242
Angel Gomes,222,277
João Gomes,339,412
Rodrigo Gomes,17,32
Toti Gomes,332,404
Carlos Gómez,44,62
Dani Gómez,41,57
Joe Gomez,27,35
Moi Gómez,148,195
Sergi Gómez,232,260
Sergio Gómez,498,649
Unai Gómez,65,95
Fabio González,42,51
Nicolás González,59,79
Urko González,10,17
Anthony Gordon,230,320
Leon Goretzka,148,167
Andoni Gorosabel,144,174
